Customer_ID,Gender,Senior_Citizen,Tenure,Monthly_Charges,Total_Charges,Contract,Payment_Method,Internet_Service
C00044,Female,0,46,55.35,2546.1,One Year,Credit Card,DSL
C00045,Male,0,72,91.95,6620.4,Month-to-month,Credit Card,DSL
C00046,Female,0,43,64.21,2761.03,Month-to-month,Mailed Check,DSL
C00047,Male,0,59,99999.0,5045.68,One Year,Credit Card,DSL
C00048,Female,0,46,54.03,2485.38,Two Year,Bank Transfer,DSL
C00049,Female,0,72,52.26,3762.72,Month-to-month,Electronic Check,Fiber Optic
C00050,Male,0,35,,2185.4,One Year,Electronic Check,Fiber Optic
C00051,Female,0,39,34.56,1347.84,Month-to-month,Credit Card,Fiber Optic
C00052,Female,0,51,103.11,5258.61,Month-to-month,Credit Card,DSL
C00053,Female,0,4,54.87,219.48,Month-to-month,Credit Card,Fiber Optic
C00054,Female,0,51,60.01,3060.51,Month-to-month,Mailed Check,Fiber Optic
C00055,Female,0,5,109.41,547.05,Two Year,Credit Card,DSL
C00056,Female,0,55,69.66,3831.3,Month-to-month,Credit Card,Fiber Optic
C00057,Male,0,20,74.43,1488.6,Month-to-month,Mailed Check,Fiber Optic
C00058,Male,0,24,115.65,2775.6,Month-to-month,Bank Transfer,Fiber Optic
C00059,Male,0,-5,108.67,3912.12,Month-to-month,Mailed Check,Fiber Optic
C00060,Male,0,34,36.95,1256.3,One Year,Electronic Check,DSL
C00061,Male,1,54,67.32,3635.28,Month-to-month,Mailed Check,DSL
C00062,Male,1,34,117.13,3982.42,Month-to-month,Mailed Check,Fiber Optic
C00063,Female,0,17,57.24,973.08,One Year,Bank Transfer,Fiber Optic
C00064,Male,0,5,57.16,285.8,Month-to-month,Bank Transfer,DSL
C00065,Male,0,18,,711.0,Month-to-month,Credit Card,DSL
C00066,Female,0,55,,1728.65,Month-to-month,Mailed Check,DSL
C00067,Male,0,53,94.03,4983.59,Month-to-month,Bank Transfer,DSL
C00068,Female,0,50,97.0,4850.0,Month-to-month,Electronic Check,Fiber Optic
C00069,Male,1,72,116.9,8416.8,Month-to-month,Credit Card,No
C00070,Female,0,45,97.34,4380.3,One Year,Mailed Check,DSL
C00071,Female,0,13,44.34,576.42,One Year,Electronic Check,Fiber Optic
C00072,Male,0,16,24.01,384.16,One Year,Bank Transfer,Fiber Optic
C00073,Male,0,13,118.54,1541.02,Two Year,Credit Card,Fiber Optic
C00074,Female,0,20,1500.0,1081.0,Month-to-month,Electronic Check,Fiber Optic
C00075,Female,1,66,51.2,3379.2,Two Year,Mailed Check,No
C00076,Female,0,47,110.6,5198.2,Month-to-month,Electronic Check,DSL
C00077,Female,0,19,78.51,1491.69,Month-to-month,Credit Card,Fiber Optic
C00078,Male,0,45,41.49,1867.05,Month-to-month,Mailed Check,Fiber Optic
C00079,Male,0,37,108.91,4029.67,Month-to-month,Mailed Check,DSL
C00080,Male,0,54,119.34,6444.36,Two Year,Electronic Check,Fiber Optic
C00081,Female,0,6,28.67,172.02,Month-to-month,Credit Card,DSL
C00082,Female,0,14,,1487.22,Month-to-month,Mailed Check,DSL
C00083,Male,0,4,59.05,236.2,Month-to-month,Credit Card,DSL
C00084,Male,0,55,72.41,3982.55,Month-to-month,Bank Transfer,DSL
C00085,Male,0,34,111.48,3790.32,Month-to-month,Electronic Check,DSL
C00086,MALE,0,27,117.34,3168.18,Month-to-month,Credit Card,No
C00087,,0,7,46.22,323.54,Month-to-month,Bank Transfer,Fiber Optic
C00088,Female,0,3,41.29,123.87,Two Year,Bank Transfer,DSL
C00089,Female,0,47,28.05,1318.35,Month-to-month,Credit Card,Fiber Optic
C00090,Male,0,2,76.18,152.36,Month-to-month,Credit Card,Fiber Optic
C00091,Male,0,25,21.36,534.0,One Year,Electronic Check,Fiber Optic
C00092,Female,0,60,61.19,3671.4,Two Year,Electronic Check,DSL
C00093,Female,0,24,27.34,656.16,Month-to-month,Mailed Check,Fiber Optic
C00094,Female,0,15,60.52,907.8,Month-to-month,Electronic Check,DSL
C00095,Female,0,14,23.99,335.86,Two Year,Credit Card,DSL
C00096,Male,0,54,103.52,5590.08,Month-to-month,Mailed Check,Fiber Optic
C00097,Female,1,6,40.97,245.82,Month-to-month,Bank Transfer,DSL
C00098,Male,0,18,52.83,950.94,Month-to-month,Bank Transfer,DSL
C00099,Male,0,20,107.0,2140.0,Two Year,Credit Card,DSL
C00100,Male,0,62,94.63,5867.06,Two Year,Mailed Check,Fiber Optic
C00101,Male,0,40,41.9,1676.0,Two Year,Mailed Check,DSL
C00102,Female,0,39,27.19,1060.41,Month-to-month,Electronic Check,DSL
C00103,Male,0,52,91.57,4761.64,Month-to-month,Bank Transfer,Fiber Optic
C00104,Female,0,32,59.07,1890.24,Month-to-month,Bank Transfer,Fiber Optic
C00105,Female,0,27,96.61,2608.47,Two Year,Electronic Check,DSL
C00106,Male,0,52,64.53,3355.56,Two Year,Bank Transfer,DSL
C00107,Male,0,63,54.6,3439.8,Month-to-month,Electronic Check,Fiber Optic
C00108,Female,0,63,65.12,4102.56,One Year,Bank Transfer,Fiber Optic
C00109,Male,0,17,94.86,1612.62,Month-to-month,Bank Transfer,DSL
C00110,Male,1,49,110.22,5400.78,Month-to-month,Bank Transfer,Fiber Optic
C00111,Male,1,23,24.98,574.54,One Year,Electronic Check,No
C00112,M,1,72,72.41,5213.52,Month-to-month,Bank Transfer,Fiber Optic
C00113,Female,0,13,23.28,302.64,Month-to-month,Bank Transfer,DSL
C00114,Female,0,23,66.84,1537.32,Month-to-month,Mailed Check,Fiber Optic
C00115,Female,0,57,108.53,6186.21,Two Year,Bank Transfer,No
C00116,Female,0,62,56.16,3481.92,Two Year,Credit Card,DSL
C00117,female,0,54,113.25,6115.5,Two Year,Bank Transfer,No
C00118,Male,0,20,83.06,1661.2,One Year,Bank Transfer,DSL
C00119,Female,0,52,113.42,5897.84,Month-to-month,Mailed Check,Fiber Optic
C00120,Female,0,23,95.72,2201.56,Month-to-month,Mailed Check,Fiber Optic
C00121,Female,0,35,30.34,1061.9,Two Year,Electronic Check,DSL
C00122,Female,1,67,43.12,2889.04,One Year,Electronic Check,DSL
C00123,,0,34,59.42,2020.28,One Year,Credit Card,No
C00124,Male,0,33,37.01,1221.33,One Year,Mailed Check,Fiber Optic
C00125,Male,1,46,69.49,3196.54,Two Year,Electronic Check,DSL
C00126,Male,0,45,67.14,3021.3,Month-to-month,Electronic Check,No
C00127,Female,0,19,115.63,2196.97,Month-to-month,Electronic Check,Fiber Optic
C00128,FEMALE,0,15,63.37,950.55,One Year,Mailed Check,DSL
C00129,Male,0,66,98.56,6504.96,Two Year,Mailed Check,Fiber Optic
C00130,Female,1,39,114.19,4453.41,One Year,Credit Card,DSL
C00131,Male,0,18,107.7,1938.6,Month-to-month,Mailed Check,Fiber Optic
C00132,Male,0,70,40.87,2860.9,Month-to-month,Mailed Check,Fiber Optic
C00133,Male,0,59,69.6,4106.4,One Year,,Fiber Optic
C00134,Male,0,32,1500.0,1752.64,One Year,Credit Card,No
C00135,Female,1,21,59.99,1259.79,One Year,Bank Transfer,DSL
C00136,M,0,40,56.08,2243.2,Month-to-month,Bank Transfer,Fiber Optic
C00137,Female,0,27,102.64,2771.28,Two Year,Electronic Check,No
C00138,Female,0,2,65.21,130.42,One Year,Bank Transfer,DSL
C00139,Male,0,39,72.37,2822.43,One Year,Bank Transfer,DSL
C00140,Female,1,56,118.24,6621.44,Month-to-month,Credit Card,Fiber Optic
C00141,Female,0,13,26.0,338.0,Month-to-month,Credit Card,Fiber Optic
C00142,Male,0,56,68.8,3852.8,Two Year,Bank Transfer,DSL
C00143,Male,0,66,97.41,6429.06,Month-to-month,Bank Transfer,Fiber Optic
C00144,Male,0,56,35.12,1966.72,Month-to-month,Bank Transfer,DSL
C00145,Male,0,28,81.15,2272.2,Month-to-month,Electronic Check,Fiber Optic
C00146,Male,1,64,43.95,2812.8,One Year,Credit Card,Fiber Optic
C00147,Female,0,71,106.74,7578.54,Month-to-month,Bank Transfer,Fiber Optic
C00148,Female,1,64,52.71,3373.44,Month-to-month,Mailed Check,No
C00149,Male,0,56,52.91,2962.96,Two Year,Bank Transfer,Fiber Optic
C00150,Male,0,41,79.82,3272.62,One Year,Mailed Check,Fiber Optic
C00151,Female,0,41,38.36,1572.76,Month-to-month,Electronic Check,DSL
C00152,Male,0,4,48.49,193.96,Month-to-month,Mailed Check,DSL
C00153,Male,1,57,61.66,3514.62,Two Year,Credit Card,DSL
C00154,Male,0,30,55.36,1660.8,Month-to-month,Electronic Check,DSL
C00155,Female,0,46,72.49,3334.54,One Year,Electronic Check,Fiber Optic
C00156,Male,0,56,79.96,4477.76,Month-to-month,Bank Transfer,Fiber Optic
C00157,Female,0,31,76.67,2376.77,Two Year,Electronic Check,DSL
C00158,Female,0,7,85.42,597.94,One Year,Electronic Check,No
C00159,Male,0,54,50.77,2741.58,One Year,Mailed Check,DSL
C00160,Female,0,8,32.64,261.12,Month-to-month,Bank Transfer,
C00161,Male,0,55,96.08,5284.4,Two Year,Credit Card,Fiber Optic
C00162,Female,0,69,105.08,7250.52,Month-to-month,Bank Transfer,Fiber Optic
C00163,Female,0,44,45.7,2010.8,Two Year,Credit Card,DSL
C00164,Female,0,13,60.71,789.23,Month-to-month,Mailed Check,Fiber Optic
C00165,Male,0,20,69.86,1397.2,One Year,Electronic Check,Fiber Optic
C00166,Female,1,32,73.33,2346.56,Month-to-month,Electronic Check,Fiber Optic
C00167,Male,0,60,85.95,5157.0,One Year,Bank Transfer,DSL
C00168,Male,0,50,24.16,1208.0,Month-to-month,Bank Transfer,Fiber Optic
C00169,Male,0,27,92.15,2488.05,Month-to-month,Bank Transfer,DSL
C00170,Female,0,25,26.2,655.0,Month-to-month,Electronic Check,DSL
C00171,Female,0,52,66.83,3475.16,Month-to-month,Electronic Check,Fiber Optic
C00172,Male,0,68,102.77,6988.36,Month-to-month,Mailed Check,DSL
C00173,Female,0,21,65.12,1367.52,Month-to-month,Credit Card,Fiber Optic
C00174,Male,0,18,34.91,628.38,Two Year,Bank Transfer,Fiber Optic
C00175,Female,0,39,118.5,4621.5,Month-to-month,Electronic Check,DSL
C00176,Male,0,15,108.93,1633.95,One Year,,DSL
C00177,F,1,53,97.13,5147.89,Month-to-month,Bank Transfer,DSL
C00178,Male,0,38,61.15,2323.7,One Year,Bank Transfer,DSL
C00179,Female,0,48,38.38,1842.24,Month-to-month,Credit Card,DSL
C00180,Male,1,52,114.14,5935.28,Two Year,Credit Card,Fiber Optic
C00181,Male,0,72,73.24,5273.28,Two Year,Credit Card,
C00182,Male,0,28,105.24,2946.72,Month-to-month,Electronic Check,DSL
C00183,Female,0,16,54.21,867.36,One Year,Mailed Check,Fiber Optic
C00184,Female,1,16,53.53,856.48,Month-to-month,Bank Transfer,Fiber Optic
C00185,Male,0,35,118.55,4149.25,One Year,Bank Transfer,DSL
C00186,Female,1,17,72.18,1227.06,Month-to-month,Credit Card,Fiber Optic
C00187,Female,0,52,34.07,1771.64,Month-to-month,Electronic Check,Fiber Optic
C00188,Female,0,12,41.97,503.64,Month-to-month,Credit Card,DSL
C00189,Female,1,48,68.19,3273.12,One Year,Electronic Check,No
C00190,,0,22,24.25,533.5,Month-to-month,Mailed Check,DSL
C00191,Male,0,49,66.25,3246.25,One Year,Bank Transfer,Fiber Optic
C00192,Female,0,52,,3218.28,Month-to-month,Bank Transfer,DSL
C00193,Female,0,1,97.93,97.93,Month-to-month,Electronic Check,Fiber Optic
C00194,female,1,66,55.49,3662.34,One Year,Mailed Check,Fiber Optic
C00195,Male,0,64,118.25,7568.0,Two Year,Mailed Check,DSL
C00196,Male,0,8,99999.0,304.64,Two Year,Bank Transfer,Fiber Optic
C00197,Female,0,25,79.1,1977.5,One Year,Bank Transfer,Fiber Optic
C00198,Female,0,66,28.97,1912.02,One Year,Credit Card,No
C00199,Female,0,70,93.39,6537.3,One Year,Electronic Check,DSL
C00200,Female,0,51,119.48,6093.48,Month-to-month,Bank Transfer,DSL
C00201,Female,0,53,101.91,5401.23,Month-to-month,Mailed Check,DSL
C00202,Male,1,15,75.57,1133.55,Month-to-month,Mailed Check,DSL
C00203,Male,0,50,68.47,3423.5,Month-to-month,Bank Transfer,Fiber Optic
C00204,Female,0,71,,7348.5,Month-to-month,Mailed Check,DSL
C00205,Female,1,38,113.6,4316.8,Two Year,Electronic Check,Fiber Optic
C00206,Male,0,40,118.92,4756.8,Month-to-month,Mailed Check,Fiber Optic
C00207,Male,0,66,59.65,-100.0,One Year,Mailed Check,DSL
C00208,Female,0,39,119.09,4644.51,One Year,Bank Transfer,DSL
C00209,Male,1,17,35.59,605.03,Month-to-month,Electronic Check,Fiber Optic
C00210,,0,7,45.35,317.45,Month-to-month,Electronic Check,Fiber Optic
C00211,Female,1,39,28.9,1127.1,Month-to-month,Credit Card,Fiber Optic
C00212,Female,0,68,47.17,3207.56,One Year,Electronic Check,DSL
C00213,Female,0,35,96.79,3387.65,Two Year,Credit Card,
C00214,Male,0,51,,5369.79,Month-to-month,Bank Transfer,DSL
C00215,Female,0,47,97.89,4600.83,Two Year,Mailed Check,DSL
C00216,Male,0,36,83.11,2991.96,Month-to-month,Electronic Check,DSL
C00217,Male,0,64,71.4,4569.6,One Year,Credit Card,DSL
C00218,Female,0,13,90.87,1181.31,One Year,Electronic Check,DSL
C00219,Female,0,18,59.08,1063.44,Month-to-month,Bank Transfer,
C00220,Female,0,21,104.13,2186.73,Month-to-month,Credit Card,No
C00221,Female,0,65,87.72,5701.8,Month-to-month,Credit Card,No
C00222,Female,0,8,89.78,718.24,Month-to-month,Credit Card,DSL
C00223,Male,0,48,73.59,3532.32,One Year,Bank Transfer,No
C00224,Male,0,43,108.52,4666.36,Month-to-month,Credit Card,Fiber Optic
C00225,Male,0,53,45.2,2395.6,One Year,Mailed Check,DSL
C00226,Male,0,27,58.11,1568.97,Month-to-month,Bank Transfer,No
C00227,Female,0,19,97.76,1857.44,One Year,Mailed Check,No
C00228,Male,1,23,69.27,1593.21,One Year,Mailed Check,DSL
C00229,Female,0,50,108.92,5446.0,One Year,Bank Transfer,Fiber Optic
C00230,Female,0,51,54.64,2786.64,Month-to-month,Electronic Check,Fiber Optic
C00231,Female,0,43,56.93,2447.99,Month-to-month,Mailed Check,Fiber Optic
C00232,Female,0,51,108.87,5552.37,Two Year,Bank Transfer,DSL
C00233,Female,0,69,66.44,4584.36,Month-to-month,Mailed Check,Fiber Optic
C00234,Male,0,41,71.61,2936.01,Month-to-month,Credit Card,DSL
C00235,Male,0,72,53.28,3836.16,Month-to-month,Mailed Check,DSL
C00236,Female,0,11,47.67,524.37,One Year,Mailed Check,DSL
C00237,Male,0,52,85.59,4450.68,One Year,Mailed Check,No
C00238,Male,0,23,31.98,735.54,One Year,Credit Card,DSL
C00239,F,0,49,107.93,5288.57,Month-to-month,Mailed Check,DSL
C00240,Male,0,38,97.92,3720.96,Month-to-month,Bank Transfer,DSL
C00241,Female,1,47,39.07,1836.29,Two Year,Mailed Check,DSL
C00242,female,0,72,89.4,6436.8,Month-to-month,Bank Transfer,Fiber Optic
C00243,Female,0,7,80.26,561.82,Month-to-month,Mailed Check,Fiber Optic
C00244,,1,66,38.45,-500.0,One Year,Mailed Check,No
C00245,Male,0,62,47.32,2933.84,Month-to-month,Mailed Check,DSL
C00246,Female,0,29,60.9,1766.1,Month-to-month,Electronic Check,DSL
C00247,Male,0,38,89.92,3416.96,Month-to-month,Electronic Check,DSL
C00248,Female,1,33,83.87,2767.71,Month-to-month,Credit Card,Fiber Optic
C00249,Female,0,29,73.22,2123.38,Month-to-month,Bank Transfer,DSL
C00250,Female,0,23,96.84,2227.32,two year,Credit Card,Fiber Optic
C00251,Male,0,3,95.79,287.37,Month-to-month,Bank Transfer,DSL
C00252,Male,1,45,81.79,3680.55,Month-to-month,Credit Card,DSL
C00253,Female,0,8,98.7,789.6,One Year,Credit Card,DSL
C00254,Male,0,29,53.43,1549.47,Two Year,Mailed Check,DSL
C00255,Male,1,2,108.12,216.24,Month-to-month,Mailed Check,No
C00256,Female,0,50,81.49,4074.5,Two Year,Mailed Check,DSL
C00257,Female,0,65,102.24,6645.6,One Year,Mailed Check,DSL
C00258,Female,0,20,74.63,1492.6,Month-to-month,Mailed Check,DSL
C00259,Female,0,52,41.84,2175.68,Month-to-month,Credit Card,DSL
C00260,Male,1,37,74.24,2746.88,Month-to-month,Bank Transfer,Fiber Optic
C00261,Female,0,72,57.11,4111.92,One Year,Electronic Check,Fiber Optic
C00262,Female,0,27,89.75,2423.25,Month-to-month,Electronic Check,DSL
C00263,Male,0,47,67.58,3176.26,Month-to-month,Bank Transfer,Fiber Optic
C00264,Female,0,6,103.61,621.66,One Year,Electronic Check,DSL
C00265,Female,1,60,87.81,5268.6,Month-to-month,Credit Card,DSL
C00266,Female,0,45,88.45,3980.25,Two Year,Bank Transfer,DSL
C00267,Female,0,44,41.72,1835.68,Two Year,Bank Transfer,No
C00268,Female,0,18,118.42,2131.56,Month-to-month,Electronic Check,
C00269,Male,1,65,104.17,6771.05,Two Year,Electronic Check,Fiber Optic
C00270,Male,0,25,98.9,2472.5,Month-to-month,Credit Card,DSL
C00271,Female,0,27,53.02,1431.54,Month to month,Mailed Check,Fiber Optic
C00272,Female,0,7,73.56,514.92,Month-to-month,Bank Transfer,
C00273,Female,0,44,33.71,1483.24,One Year,Mailed Check,
C00274,Female,0,29,,2141.65,One Year,Electronic Check,No
C00275,Female,0,44,34.59,1521.96,Month-to-month,Bank Transfer,DSL
C00276,Female,0,36,75.3,2710.8,Month-to-month,Mailed Check,DSL
C00277,Female,0,19,84.87,1612.53,Month-to-month,Credit Card,Fiber Optic
C00278,Female,0,6,59.02,354.12,Two Year,,DSL
C00279,Female,1,25,69.85,1746.25,Two Year,Credit Card,DSL
C00280,Female,0,31,107.57,3334.67,One Year,Bank Transfer,DSL
C00281,Female,1,9,30.86,277.74,One Year,Bank Transfer,Fiber Optic
C00282,Male,0,37,99.17,3669.29,One Year,Bank Transfer,No
C00283,Male,0,27,37.08,1001.16,Month-to-month,Bank Transfer,DSL
C00284,Male,1,13,23.67,307.71,Month-to-month,Bank Transfer,DSL
C00285,Female,0,41,38.56,1580.96,One Year,Mailed Check,No
C00286,Male,0,66,96.5,6369.0,Month-to-month,Mailed Check,Fiber Optic
C00287,Male,1,24,60.51,1452.24,Month-to-month,Credit Card,
C00288,Female,0,44,107.25,4719.0,Two Year,Mailed Check,DSL
C00289,Male,0,60,72.47,4348.2,Two Year,Mailed Check,No
C00290,Female,0,9,99999.0,200.07,Month-to-month,Credit Card,DSL
C00291,Male,0,2,91.67,183.34,One Year,Credit Card,Fiber Optic
C00292,Male,0,56,31.02,1737.12,Two Year,Electronic Check,DSL
C00293,Female,0,30,98.94,2968.2,Month-to-month,Credit Card,Fiber Optic
C00294,Male,0,22,36.81,809.82,Month-to-month,Mailed Check,DSL
C00295,Male,0,13,54.54,709.02,Month-to-month,Bank Transfer,Fiber Optic
C00296,Female,0,71,96.13,6825.23,Month-to-month,Credit Card,No
C00297,Female,0,16,115.42,1846.72,Two Year,Electronic Check,DSL
C00298,Male,0,45,57.14,2571.3,Month-to-month,Mailed Check,DSL
C00299,Female,0,65,102.94,6691.1,Month-to-month,Electronic Check,Fiber Optic
C00300,Male,0,11,39.08,429.88,Month-to-month,Electronic Check,Fiber Optic
C00301,Male,0,70,100.72,7050.4,Month-to-month,Mailed Check,No
C00302,Female,0,20,85.75,1715.0,Month-to-month,Electronic Check,Fiber Optic
C00303,Female,0,63,39.27,2474.01,One Year,Mailed Check,DSL
C00304,Female,1,12,50.25,603.0,Month-to-month,Electronic Check,Fiber Optic
C00305,female,0,62,33.18,2057.16,One Year,Bank Transfer,DSL
C00306,Female,0,42,58.3,2448.6,One Year,Credit Card,
C00307,Female,0,69,40.36,2784.84,Month-to-month,Bank Transfer,Fiber Optic
C00308,Male,0,58,84.4,4895.2,One Year,Bank Transfer,DSL
C00309,Female,1,5,119.45,597.25,One Year,Electronic Check,Fiber Optic
C00310,,1,27,21.2,572.4,Month-to-month,Credit Card,Fiber Optic
C00311,Male,0,28,74.09,2074.52,Month-to-month,Credit Card,DSL
C00312,Male,0,26,,2011.62,One Year,,DSL
C00313,Male,1,49,111.42,5459.58,Two Year,Electronic Check,Fiber Optic
C00314,Female,1,21,70.6,1482.6,Month-to-month,Bank Transfer,DSL
C00315,Female,0,1,74.37,74.37,Month-to-month,Mailed Check,No
C00316,Female,0,58,67.17,3895.86,Month-to-month,Mailed Check,Fiber Optic
C00317,Male,0,55,46.89,2578.95,Month-to-month,Mailed Check,DSL
C00318,Male,1,26,25.6,665.6,One Year,Credit Card,DSL
C00319,Male,0,25,60.87,1521.75,Month-to-month,Mailed Check,Fiber Optic
C00320,Male,0,33,25.26,833.58,Month-to-month,Bank Transfer,Fiber Optic
C00321,Female,0,72,75.05,5403.6,Month-to-month,Mailed Check,DSL
C00322,Female,0,69,50.73,3500.37,Month-to-month,Credit Card,DSL
C00323,Female,0,6,73.36,440.16,Month-to-month,Credit Card,Fiber Optic
C00324,Male,1,23,33.43,768.89,Month-to-month,Mailed Check,DSL
C00325,Female,0,30,113.26,3397.8,Month-to-month,Credit Card,DSL
C00326,F,0,54,109.45,5910.3,Two Year,Mailed Check,Fiber Optic
C00327,Female,0,11,39.0,429.0,Two Year,Credit Card,DSL
C00328,Female,0,31,54.34,1684.54,Month-to-month,Electronic Check,No
C00329,Male,0,6,81.35,488.1,Month-to-month,Electronic Check,Fiber Optic
C00330,Male,0,11,29.57,325.27,Month-to-month,Bank Transfer,DSL
C00331,Male,0,12,55.46,665.52,Month-to-month,Electronic Check,DSL
C00332,Female,0,66,45.11,2977.26,Month-to-month,Mailed Check,Fiber Optic
C00333,Male,0,53,111.55,5912.15,Month-to-month,Credit Card,Fiber Optic
C00334,Male,0,36,105.25,3789.0,One Year,Bank Transfer,Fiber Optic
C00335,Male,1,17,77.98,1325.66,Month-to-month,Mailed Check,Fiber Optic
C00336,Male,1,28,72.03,2016.84,Month-to-month,Mailed Check,Fiber Optic
C00337,Female,0,22,113.07,2487.54,One Year,Bank Transfer,DSL
C00338,Female,0,7,113.24,792.68,One Year,Bank Transfer,No
C00339,Male,1,15,116.93,1753.95,Month-to-month,Mailed Check,Fiber Optic
C00340,Male,0,11,32.54,357.94,Month-to-month,Credit Card,Fiber Optic
C00341,Male,0,24,36.06,865.44,Month-to-month,Mailed Check,Fiber Optic
C00342,Male,1,67,87.67,5873.89,Month-to-month,Credit Card,Fiber Optic
C00343,Male,0,30,74.14,2224.2,Month-to-month,Bank Transfer,Fiber Optic
C00344,Male,0,70,21.85,1529.5,Month-to-month,Mailed Check,Fiber Optic
C00345,Male,1,66,26.2,1729.2,Month-to-month,Electronic Check,No
C00346,Female,0,61,108.81,6637.41,One Year,Mailed Check,Fiber Optic
C00347,Female,0,41,106.89,4382.49,One Year,Credit Card,DSL
C00348,Male,0,51,,2842.23,Month-to-month,Mailed Check,Fiber Optic
C00349,Male,0,44,109.11,4800.84,Month-to-month,Credit Card,Fiber Optic
C00350,Female,0,13,79.37,1031.81,Month-to-month,Electronic Check,DSL
C00351,Female,0,12,100.59,1207.08,Month-to-month,Bank Transfer,Fiber Optic
C00352,Female,1,9,62.74,564.66,Month-to-month,Electronic Check,No
C00353,Female,0,48,31.34,1504.32,Two Year,Credit Card,Fiber Optic
C00354,Male,0,49,63.37,3105.13,One Year,Bank Transfer,DSL
C00355,Male,0,53,65.73,3483.69,Two Year,Bank Transfer,No
C00356,Female,0,56,75.09,4205.04,One Year,Mailed Check,Fiber Optic
C00357,Male,0,40,30.56,1222.4,Two Year,Electronic Check,Fiber Optic
C00358,Female,1,24,119.14,2859.36,One Year,Credit Card,
C00359,Female,1,72,44.41,3197.52,Two Year,Credit Card,Fiber Optic
C00360,Female,0,33,39.86,1315.38,Month-to-month,Bank Transfer,DSL
C00361,Male,0,23,72.68,1671.64,Month-to-month,Mailed Check,Fiber Optic
C00362,Female,0,54,73.72,3980.88,One Year,Credit Card,Fiber Optic
C00363,Male,0,53,63.98,3390.94,Two Year,Mailed Check,Fiber Optic
C00364,Female,0,49,97.19,4762.31,Month-to-month,Bank Transfer,No
C00365,Female,0,49,71.67,3511.83,Month-to-month,Bank Transfer,Fiber Optic
